OCA|Ocean Reef Club Airport|25.3254|-80.2748
WKK|Aleknagik / New Airport|59.2826|-158.618
AE-0221|Sas Al Nakheel Air Base|24.4413|54.517
BBQ|Burton-Nibbs International Airport|17.6212|-61.7983
HIR|Honiara International Airport|-9.428|160.055
MUA|Munda Airport|-8.328|157.263
INU|Nauru International Airport|-0.5479|166.9195
AQ-0016|Grandfather Skiway|-77.5302|-31.8274
AQBC|Boulder Clay Runway|-74.7394|164.0354
AR-0744|Chamical Airport|-30.3453|-66.2941
AR-0767|Aeroestación Yabotí|-27.1803|-54.1074
AR-0768|[Duplicate] Aeropuerto Pergamino|-33.896|-60.5748
AT03|Concordia Skyway|-75.1033|123.3582
AT28|Vostok Skiway|-78.4661|106.8482
WFR|[Duplicate] Wolf's Fang Runway|-71.5264|8.7995
AU-0796|Nackeroo Airfield|-15.578|130.476
AU-0799|[Duplicate] Western Sydney International Airport|-33.8881|150.7147
AXF|Alxa Left Banner Bayanhot Airport|38.7483|105.5842
VMU|Baimuru Airport|-7.497|144.8218
BUA|Buka Airport|-5.4223|154.6727
OPU|Balimo Airport|-8.05|142.933
CMU|Chimbu Airport|-6.0243|144.971
DAU|Daru Airport|-9.0868|143.208
GKA|Goroka Airport|-6.0817|145.392
GUR|Gurney Airport|-10.3115|150.334
PNP|Girua Airport|-8.8045|148.309
HKN|Hoskins Airport|-5.4638|150.4073
KMA|Kerema Airport|-7.9636|145.771
KVG|Kavieng Airport|-2.5794|150.808
MAG|Madang Airport|-5.2071|145.789
HGU|Mount Hagen Kagamuga Airport|-5.8282|144.2994
MDU|Mendi Airport|-6.1477|143.657
MAS|Momote Airport|-2.0619|147.424
LAE|Nadzab Tomodachi International Airport|-6.568|146.7265
POM|Port Moresby Jacksons International Airport|-9.4434|147.22
RAB|Tokua Airport|-4.3405|152.38
VAI|Vanimo Airport|-2.6926|141.3028
WBM|Wapenamanda Airport|-5.6353|143.8922
WWK|Wewak International Airport|-3.5838|143.669
ZXT|Zabrat Airport|40.4949|49.9771
AZ-0013|Sitalchay Airbase|40.8073|49.4315
AZ-0021|Qizilagach Air Base|39.0062|48.8063
BCW|Benguera Island Airport|-21.8533|35.4383
